Nz =      16;   swil_cross_corr
   1.6080843766408948E-002   2.6927709894630878E-004   2.7000022907293527E-004   4.5831905588906614E-006
   1.6067232169852098E-002   2.6904936547082525E-004   2.7017755452560965E-004   4.5451442587643796E-006
   1.6058084340289026E-002   2.6963931637166873E-004   2.6985589280909981E-004   4.5109429518259587E-006
   1.6055097232269430E-002   2.7038837039088445E-004   2.6931245806684738E-004   4.4848828578952698E-006
   1.6057870561139196E-002   2.7076076549729477E-004   2.6885866670987347E-004   4.4897952346492940E-006
   1.6063773660313904E-002   2.7063251649850220E-004   2.6840787418439411E-004   4.4992128181365559E-006
   1.6072266265582821E-002   2.7004724744288653E-004   2.6903232727121978E-004   4.5192218420666879E-006
   1.6074259826858436E-002   2.6954341237243570E-004   2.6954341237243570E-004   4.5381235017273822E-006
   1.6072266265582825E-002   2.6903232727121978E-004   2.7004724744288653E-004   4.5192218420666879E-006
   1.6063773660313901E-002   2.6840787418439411E-004   2.7063251649850220E-004   4.4992128181365559E-006
   1.6057870561139196E-002   2.6885866670987353E-004   2.7076076549729477E-004   4.4897952346492940E-006
   1.6055097232269430E-002   2.6931245806684738E-004   2.7038837039088445E-004   4.4848828578952698E-006
   1.6058084340289026E-002   2.6985589280909976E-004   2.6963931637166873E-004   4.5109429518259587E-006
   1.6067232169852095E-002   2.7017755452560965E-004   2.6904936547082525E-004   4.5451442587643796E-006
   1.6080843766408951E-002   2.7000022907293527E-004   2.6927709894630878E-004   4.5831905588906614E-006
   1.6099325329825651E-002   2.6978107850187153E-004   2.6978107850187153E-004   4.6138759168467224E-006
 
